epoch,train_loss,val_loss,val_psnr,val_ssim,learning_rate
1,0.09366487095248885,0.0716026640497148,25.83933628797531,0.6833440583199263,3e-05
2,0.0681657619541511,0.06650024334667251,26.615711987018585,0.7081283852458,3e-05
3,0.06483849604264832,0.06364543039817364,26.98822886943817,0.7210763923823833,3e-05
4,0.06302224261162337,0.06297002279898152,27.097963774204253,0.7241802535951137,3e-05
5,0.06222291581507307,0.06179312879685313,27.194669830799103,0.731327337026596,3e-05
6,0.06135527438309509,0.06162525442196056,27.320401275157927,0.7290390703827143,3e-05
7,0.06084079636202659,0.0626247318345122,26.85005340576172,0.7355943635106087,3e-05
8,0.060453424890874886,0.060477690410334614,27.39210501909256,0.7372543949633836,3e-05
9,0.05991313822742086,0.06007263587089255,27.44382961988449,0.7387856412678957,3e-05
10,0.059582230751402676,0.06053060097619891,27.301043450832367,0.7400570593774318,3e-05
11,0.05931308119033929,0.06043731888057664,27.361482012271882,0.7396279133856296,3e-05
12,0.05908516606141347,0.05977094091940671,27.485441410541533,0.7411958891898394,3e-05
13,0.058871268268558194,0.05937616544542834,27.563828349113464,0.742245688661933,3e-05
14,0.05869411082239821,0.05981136055197567,27.45260454416275,0.7418438091874122,3e-05
15,0.0584970578114735,0.05930486414581537,27.503865087032317,0.7441744517534972,3e-05
16,0.05839150469691958,0.0593391023343429,27.638806927204133,0.7405092474073172,3e-05
17,0.05824721191602293,0.058666429424192756,27.651821517944335,0.7461286026984453,3e-05
18,0.05809970758273266,0.05878927855519578,27.66837270259857,0.7444301072508097,3e-05
19,0.0580990505986847,0.05850967864971608,27.674220490455628,0.7465501986443996,3e-05
20,0.05786959815886803,0.058504862664267424,27.671449196338653,0.7473488196730613,3e-05
